dates,wind_eastward_mean,wind_eastward_mean_selection,temperature_mean_selection,wind_eastward_mean_cos,SSW_flag,t_delta
2017-12-28,30.361577593098044,44.315988688629766,196.06008311207884,15.180788796549026,False,-45
2017-12-29,33.58726152285125,36.26705958788161,194.9545166007941,16.79363076142563,False,-44
2017-12-30,33.81357838485838,32.96019262321866,194.15926608522105,16.906789192429194,False,-43
2017-12-31,33.39271739650904,32.045659760763925,193.81769094547056,16.696358698254524,False,-42
2018-01-01,34.28417736217343,31.44315072337493,193.11513530711466,17.14208868108672,False,-41
2018-01-02,36.53296441135781,22.301877415758007,192.37945034853743,18.26648220567891,False,-40
2018-01-03,36.5209024858922,15.260501061246261,193.6026546336762,18.260451242946104,False,-39
2018-01-04,36.82384267233501,34.02184430692939,195.6136317002124,18.41192133616751,False,-38
2018-01-05,35.99672447893977,42.25484441141987,198.72777252388198,17.998362239469888,False,-37
2018-01-06,36.33356043263636,53.64365513167534,200.4010225917212,18.166780216318184,False,-36
2018-01-07,36.97560078443371,46.24325702601207,198.94429071796117,18.487800392216858,False,-35
2018-01-08,39.216324259780286,33.80487643763112,196.65534699321992,19.608162129890147,False,-34
2018-01-09,37.496184368307716,29.106362684184674,197.07257536391197,18.74809218415386,False,-33
2018-01-10,36.515387731434075,30.70141474705514,196.52530078923738,18.25769386571704,False,-32
2018-01-11,37.025625549144195,36.23338867843026,193.65947157911447,18.5128127745721,False,-31
2018-01-12,36.802910748021425,35.894020911406265,193.4070669659581,18.401455374010716,False,-30
2018-01-13,35.77505026920556,45.11199187283594,192.50872463273873,17.887525134602782,False,-29
2018-01-14,33.78823290266973,53.77473778266289,192.74971467839865,16.89411645133487,False,-28
2018-01-15,30.535844279513,64.85884444077682,198.13524027970172,15.267922139756504,False,-27
2018-01-16,25.154227062077947,75.34508632487434,203.09683975885187,12.577113531038977,False,-26
2018-01-17,20.735089889142646,90.63403500156019,210.55100979942003,10.367544944571325,False,-25
2018-01-18,17.517499527527647,99.50212129521267,213.59534641377803,8.758749763763825,False,-24
2018-01-19,15.126380274046051,93.32419090605705,215.87701440204344,7.563190137023027,False,-23
2018-01-20,16.023705179614712,86.63651895767605,215.4469579043215,8.011852589807358,False,-22
2018-01-21,19.878130410039045,95.98776008544992,215.04483607589063,9.939065205019524,False,-21
2018-01-22,21.343102264061077,96.24750229349148,215.0333315430321,10.67155113203054,False,-20
2018-01-23,21.07156859640059,96.04121959535846,213.41280669411609,10.535784298200296,False,-19
2018-01-24,20.383973485927285,88.6279151490909,211.48345239978735,10.191986742963644,False,-18
2018-01-25,20.08928087681894,82.36685917638218,203.78204566200344,10.044640438409472,False,-17
2018-01-26,23.73791276572343,81.08150880689116,200.20023178577443,11.868956382861716,False,-16
2018-01-27,26.715218011130187,80.88008912366641,197.63870447178112,13.357609005565097,False,-15
2018-01-28,28.000834948004464,76.00531211359676,203.8117172568935,14.000417474002235,False,-14
2018-01-29,24.953889103009125,94.54325956024128,216.30429385575846,12.476944551504566,False,-13
