dates,wind_eastward_mean,wind_eastward_mean_selection,temperature_mean_selection,wind_eastward_mean_cos,SSW_flag,t_delta
2008-02-02,33.695504588151685,45.35734696064716,210.5502709801022,16.847752294075846,False,-20
2008-02-03,36.24458518479087,45.004029576464156,205.84991054291882,18.12229259239544,False,-19
2008-02-04,33.781384555470815,28.187437963975412,218.95109772388153,16.89069227773541,False,-18
2008-02-05,31.60160329281698,35.847729721051095,233.23068813712646,15.800801646408493,False,-17
2008-02-06,24.28098767917999,54.407905689127524,261.4252062506393,12.140493839589999,False,-16
2008-02-07,22.940869407821207,58.17048258370639,252.1968836231845,11.470434703910605,False,-15
2008-02-08,23.422824350585916,66.82678373675178,246.02050817048186,11.71141217529296,False,-14
2008-02-09,24.317266044083706,66.2033923412273,236.61393869885003,12.158633022041856,False,-13
2008-02-10,24.784299319653083,80.78920627411777,222.73277431998716,12.392149659826545,False,-12
2008-02-11,22.954909365903568,81.3123253311012,220.11905818432368,11.477454682951786,False,-11
2008-02-12,22.125187993431688,87.70168749299862,218.94118625691567,11.062593996715846,False,-10
2008-02-13,14.715763492909783,75.37246392091501,224.27671615443188,7.357881746454893,False,-9
2008-02-14,7.700436512030195,66.68886930703498,228.7552521386329,3.8502182560150984,False,-8
2008-02-15,4.934725979225221,63.61076596755504,233.10066569757916,2.467362989612611,False,-7
2008-02-16,6.736117367399306,64.72554062035019,237.77566693614352,3.3680586836996538,False,-6
2008-02-17,9.249543910209647,62.56757354804628,233.2989009780049,4.6247719551048245,False,-5
2008-02-18,8.153930225146809,53.50858447192218,230.49015097083807,4.076965112573405,False,-4
2008-02-19,6.373151743657631,49.808957538491526,221.6814004815034,3.186575871828816,False,-3
2008-02-20,6.690485017366686,43.22838970738082,219.47139414778457,3.3452425086833437,False,-2
2008-02-21,7.001997447566681,52.360189390799285,231.7520025931941,3.5009987237833413,False,-1
2008-02-22,-7.81372643777132,25.72670193926855,248.83628269009458,-3.9068632188856607,True,0
2008-02-23,-14.775405827771179,23.76747905063781,256.49375280635473,-7.387702913885591,False,1
2008-02-24,-16.21185113299225,15.288013273616563,250.9816671588497,-8.105925566496127,False,2
2008-02-25,-15.591944963789409,8.350274665886888,244.05691187112336,-7.795972481894706,False,3
2008-02-26,-8.902274993221422,14.349333607032541,231.59632432395188,-4.451137496610712,False,4
2008-02-27,-3.838982870310665,21.793179133087317,225.23721946047004,-1.919491435155333,False,5
2008-02-28,-2.8158787953618702,19.97200529050303,225.41693545598446,-1.4079393976809353,False,6
2008-02-29,-1.4296620689071142,16.658121449657557,227.38102316991504,-0.7148310344535572,False,7
2008-03-01,2.0780840450896125,14.946508472359522,228.82010995048964,1.0390420225448065,False,8
2008-03-02,3.8436245269208964,18.593029263746963,239.72274355807238,1.9218122634604486,False,9
2008-03-03,8.73257814019473,24.78696216908861,238.5237921522179,4.366289070097366,False,10
2008-03-04,11.433868832011019,30.611709790390872,232.44469089853536,5.71693441600551,False,11
2008-03-05,9.558367415027286,33.54178564838974,225.0423328435923,4.779183707513644,False,12
2008-03-06,7.793066629027634,35.46710204899226,224.555299414859,3.896533314513818,False,13
2008-03-07,6.787918976166502,29.584132865120427,222.75362888502838,3.3939594880832518,False,14
2008-03-08,5.872045380418018,25.12239240847062,221.50547194285963,2.9360226902090094,False,15
2008-03-09,5.107442151254706,29.110283384785458,223.28250724061706,2.5537210756273536,False,16
2008-03-10,2.206261008171104,23.35156507317192,225.64822876332576,1.1031305040855521,False,17
2008-03-11,-0.45107997806271805,21.1918984697063,219.6921924864012,-0.22553998903135908,True,18
2008-03-12,-1.546430894755152,13.668006708638968,218.99485696087066,-0.7732154473775762,False,19
2008-03-13,-3.783679983895274,9.991045799711545,220.44708292795818,-1.8918399919476374,False,20
