dates,wind_eastward_mean,wind_eastward_mean_selection,temperature_mean_selection,wind_eastward_mean_cos,temperate_mean_cos,temperature_pct_change,SSW_,SSW_flag
2009-01-01,26.940159332037233,6.950677980900851,197.27384800180727,13.47007966601862,98.63692400090366,,False,False
2009-01-02,26.347883627185787,-4.24967086132702,196.25492971604626,13.173941813592897,98.12746485802316,-0.5164994225446806,False,False
2009-01-03,26.876001062778744,2.4410420972166227,195.83735468932903,13.438000531389376,97.91867734466454,-0.21277173894250767,False,False
2009-01-04,27.14966659365164,7.39189807825544,197.91775588421956,13.574833296825824,98.95887794210981,1.0623107109421603,False,False
2009-01-05,27.732194447524105,7.882852206788181,199.39038366636015,13.866097223762056,99.6951918331801,0.74406046873432,False,False
2009-01-06,28.419461859659123,6.159234380973078,199.54233914748414,14.209730929829565,99.7711695737421,0.07621003497253476,False,False
2009-01-07,28.714418681887814,1.9453700128960179,200.7523838020346,14.35720934094391,100.37619190101732,0.6064099778123166,False,False
2009-01-08,30.08264157931673,6.344850752052539,200.30717116407294,15.041320789658368,100.1535855820365,-0.22177203056312766,False,False
2009-01-09,30.83945992951796,0.575807399603357,197.19449373938755,15.419729964758984,98.5972468696938,-1.5539520660175277,False,False
2009-01-10,31.1246316704147,3.669561291900807,197.84938874985303,15.562315835207354,98.92469437492655,0.3321061344293774,False,False
2009-01-11,31.768107330560653,14.384638405384635,198.92781582080903,15.88405366528033,99.46390791040454,0.5450747549791357,False,False
2009-01-12,31.4767634509007,14.985643414228779,199.27898191848243,15.738381725450354,99.63949095924124,0.17652940903434278,False,False
2009-01-13,30.762258658659217,9.912720101949246,199.97850304071153,15.381129329329612,99.9892515203558,0.35102604173040675,False,False
2009-01-14,29.80245800869651,1.962860335181416,198.06411530069204,14.90122900434826,99.03205765034605,-0.9572967648576514,False,False
2009-01-15,28.869866173136906,13.102840196167884,202.08843745636764,14.434933086568456,101.04421872818385,2.031828001536806,False,False
2009-01-16,27.56972416764007,18.49309165077593,201.36712777890992,13.78486208382004,100.68356388945499,-0.356927732500012,False,False
2009-01-17,26.721812349230994,21.770585158259326,201.4739511655417,13.3609061746155,100.73697558277088,0.0530490690362706,False,False
2009-01-18,25.378462764584487,24.142205088418677,201.56243972029102,12.689231382292247,100.78121986014554,0.043920593326030044,False,False
2009-01-19,23.311990185902946,27.88755820052295,211.30597959380407,11.655995092951475,105.65298979690206,4.834005724000057,False,False
2009-01-20,19.890136429539485,56.79760123925735,219.48495201523946,9.945068214769744,109.74247600761976,3.870677222271657,False,False
2009-01-21,15.437756826836377,79.66863480347125,232.92149498887449,7.7188784134181905,116.46074749443727,6.121851566708814,False,False
2009-01-22,9.643333622103029,76.51878676280097,251.4939045411726,4.821666811051515,125.74695227058633,7.9736778064150915,False,False
2009-01-23,1.7237139030642408,43.669120310929394,259.3729392688583,0.8618569515321206,129.6864696344292,3.1328929192380617,False,False
2009-01-24,-4.264975084105263,42.059541471699404,258.38937352687304,-2.132487542052632,129.19468676343655,-0.3792090820105676,True,True
2009-01-25,-6.02756341532638,20.520587535016027,246.38454728443241,-3.013781707663191,123.19227364221624,-4.646021652741106,False,False
2009-01-26,-6.793516313139275,22.18104731180353,242.58752769774296,-3.3967581565696383,121.2937638488715,-1.5410948570188099,False,False
2009-01-27,-7.4142476886910185,20.475180468814592,241.30092889962532,-3.70712384434551,120.65046444981269,-0.5303647760987573,False,False
2009-01-28,-9.65817159422745,6.0633113019711935,230.16147813662263,-4.829085797113726,115.08073906831135,-4.616414372626143,False,False
2009-01-29,-10.894635755843307,7.407589842809553,230.95649541357574,-5.4473178779216544,115.4782477067879,0.345417175536733,False,False
2009-01-30,-11.636659415136654,-7.358334536556285,235.20799807642464,-5.818329707568328,117.60399903821235,1.8408240284542465,False,False
2009-01-31,-11.683846676261341,-8.144173934857587,235.86802698587408,-5.841923338130671,117.93401349293707,0.28061499389786526,False,False
2009-02-01,-11.865083661834868,-2.671136692502265,230.69696904762404,-5.932541830917435,115.34848452381205,-2.1923522252381145,False,False
2009-02-02,-11.262536753957875,-0.44785867609283614,227.0517651447686,-5.631268376978938,113.52588257238433,-1.5800831358572909,False,False
2009-02-03,-11.086803503338588,-4.834280322156981,226.54326189193975,-5.543401751669295,113.2716309459699,-0.22395917182349567,False,False
