dates,wind_eastward_mean,wind_eastward_mean_selection,temperature_mean_selection,wind_eastward_mean_cos,SSW_flag,t_delta
2010-01-15,33.73971845441294,65.25720781426581,198.32997794449415,16.869859227206472,False,-20
2010-01-16,33.95318309683127,55.45074474077098,202.88730576255153,16.976591548415637,False,-19
2010-01-17,34.228144408917096,54.19665901383899,205.407859370861,17.11407220445855,False,-18
2010-01-18,33.10222882275557,70.35551523970369,205.54835725834678,16.55111441137779,False,-17
2010-01-19,30.18399029099148,80.79671113449523,211.9622815816098,15.091995145495744,False,-16
2010-01-20,25.009613122927394,90.3739394256533,227.15440169592821,12.5048065614637,False,-15
2010-01-21,18.81406957536865,90.51961112136566,236.8846584773934,9.407034787684326,False,-14
2010-01-22,13.275030335369713,73.32208895007638,240.47570568545336,6.6375151676848585,False,-13
2010-01-23,4.717999774880434,69.31565457435354,226.54828425770887,2.3589998874402176,False,-12
2010-01-24,-4.55000762675995,53.232166666046375,228.62524497622258,-2.2750038133799753,True,-11
2010-01-25,-4.687525626502463,47.120046835043816,232.3873252492613,-2.343762813251232,False,-10
2010-01-26,-7.608248314867341,42.15209849782166,232.11945423239555,-3.8041241574336713,False,-9
2010-01-27,-6.913395160511038,41.75356685392062,234.79628870812718,-3.4566975802555198,False,-8
2010-01-28,-6.044112817462424,38.2804150680691,230.31946291453548,-3.022056408731213,False,-7
2010-01-29,-7.775812090638099,28.28496749480004,234.19144139409988,-3.8879060453190504,False,-6
2010-01-30,-8.577663646278896,37.239511126164224,234.2701916401945,-4.288831823139449,False,-5
2010-01-31,-6.747028630711034,32.536117530768315,235.41055904510262,-3.373514315355518,False,-4
2010-02-01,-1.8812456741655177,40.366480193303715,230.91336288683826,-0.9406228370827591,False,-3
2010-02-02,-0.6936907266183077,38.760961710803684,230.35728231580262,-0.3468453633091539,False,-2
2010-02-03,0.17102987716403786,32.465242033212526,233.08414983943373,0.08551493858201895,False,-1
2010-02-04,-0.21595895350355465,33.37900085177182,227.36518799309405,-0.10797947675177735,True,0
2010-02-05,-0.530680435714172,24.541809005771846,225.40375637916944,-0.26534021785708606,False,1
2010-02-06,-7.981358973685628,14.385680016035508,232.01394692965036,-3.990679486842815,False,2
2010-02-07,-8.617262069950877,12.752127682887826,228.52604034120202,-4.3086310349754395,False,3
2010-02-08,-9.527100665272268,13.653939302191526,226.17270984966032,-4.763550332636135,False,4
2010-02-09,-10.756768028271692,11.71154345476586,225.0714421549694,-5.378384014135847,False,5
2010-02-10,-12.327984507714683,6.748323516122343,223.42979369365577,-6.1639922538573435,False,6
2010-02-11,-11.076576110225309,6.255964290461786,221.54814098638087,-5.538288055112655,False,7
2010-02-12,-10.307553395931311,6.286707294743462,219.60051184133206,-5.1537766979656565,False,8
2010-02-13,-8.837964329099377,3.158307929101553,220.36465640860078,-4.418982164549689,False,9
2010-02-14,-8.455841834990027,-2.3864545535894286,223.50746053612116,-4.227920917495014,False,10
2010-02-15,-7.189834049913645,-1.8825856317445993,224.27416359946525,-3.5949170249568234,False,11
2010-02-16,-4.986287057932457,-2.0499305565290915,221.5952170595493,-2.493143528966229,False,12
2010-02-17,-4.3145699117160765,4.9954842878718715,220.63404325694464,-2.1572849558580387,False,13
2010-02-18,-8.137190085031085,-15.146484034605423,223.4329458762479,-4.068595042515543,False,14
2010-02-19,-10.537575508763428,-28.64993219606172,219.36827559514862,-5.268787754381715,False,15
2010-02-20,-8.301890797422143,-22.904894268947906,217.39606129308666,-4.150945398711072,False,16
2010-02-21,-8.23608656432713,-22.254966629443015,216.75721174020686,-4.1180432821635655,False,17
2010-02-22,-11.578750572888937,-35.62888022770262,214.54602694511777,-5.78937528644447,False,18
2010-02-23,-11.337643636717921,-44.82418516462906,215.961036533483,-5.668821818358961,False,19
2010-02-24,-9.273352464121242,-49.000623137646784,216.63085454043457,-4.636676232060622,False,20
