wind_eastward_mean,wind_eastward_mean_selection,dates,temperature_mean_selection,wind_eastward_mean_cos,temperate_mean_cos,SSW_flag
16.240319462256352,69.93738009279873,2003-12-27,253.91412802617597,8.120159731128178,126.95706401308802,False
4.13424612579443,52.34418687461326,2003-12-28,248.21490721133932,2.0671230628972155,124.10745360566969,False
5.100442221454114,38.210683809315256,2003-12-29,230.59397821288286,2.5502211107270574,115.29698910644146,False
8.065111651773636,42.75405224285089,2003-12-30,225.78743233781935,4.032555825886819,112.8937161689097,False
7.968782509558663,46.63928144077355,2003-12-31,224.08183208374362,3.9843912547793323,112.04091604187184,False
1.4669646743643678,39.21477018506341,2004-01-01,224.06008253309565,0.733482337182184,112.03004126654785,False
-2.23310387939239,32.651870747218034,2004-01-02,225.3350071410378,-1.1165519396961952,112.66750357051893,True
-6.97906424024318,21.89114616698328,2004-01-03,229.20656040695692,-3.489532120121591,114.60328020347849,False
-9.788202641452072,13.438940196714254,2004-01-04,230.0055135064175,-4.894101320726037,115.00275675320877,False
-9.31995300550698,9.00302924831424,2004-01-05,228.86674383541614,-4.659976502753491,114.4333719177081,False
-9.761398457670161,3.9657703283683836,2004-01-06,228.11248994123247,-4.8806992288350814,114.05624497061626,False
-7.646122384508316,3.3152537424213064,2004-01-07,231.57229550934295,-3.823061192254159,115.7861477546715,False
-7.834642808011383,-2.608453708208011,2004-01-08,231.35994415436878,-3.9173214040056923,115.67997207718442,False
-5.044683673444869,4.688289823631984,2004-01-09,231.5048490715018,-2.522341836722435,115.75242453575093,False
-9.949104281323871,-8.207887247774288,2004-01-10,234.18302156981193,-4.974552140661936,117.09151078490599,False
-14.362572392252993,-22.010150006950347,2004-01-11,228.8005297532896,-7.181286196126498,114.40026487664483,False
-9.858018313873611,-13.165352338325668,2004-01-12,225.79121767286543,-4.929009156936806,112.89560883643274,False
-4.543629561549519,3.123358164518608,2004-01-13,222.29069853476423,-2.27181478077476,111.14534926738214,False
-3.050040718352583,4.642015460318021,2004-01-14,219.05041057195552,-1.5250203591762919,109.52520528597779,False
-2.689184680478867,5.72088120718154,2004-01-15,216.7800213544137,-1.3445923402394337,108.39001067720687,False
-3.6229537947687107,5.467802507457181,2004-01-16,213.05012618965932,-1.8114768973843558,106.52506309482969,False
-3.2956498228815794,6.557841409680871,2004-01-17,212.28733449774117,-1.6478249114407901,106.14366724887061,False
-2.574778820732725,3.374013770309437,2004-01-18,210.72936867593475,-1.2873894103663628,105.3646843379674,False
-0.8886187322693345,4.633282225932587,2004-01-19,209.6245274042906,-0.44430936613466737,104.81226370214533,False
0.34712062677968863,6.14524235933238,2004-01-20,208.71276453061932,0.17356031338984435,104.35638226530969,False
2.321633826082949,14.359194253178718,2004-01-21,209.02389191204938,1.1608169130414747,104.51194595602472,False
4.935908506507449,20.661274552345397,2004-01-22,213.2894595146892,2.467954253253725,106.64472975734463,False
5.5631014807062735,28.526805730999406,2004-01-23,213.89372629751213,2.781550740353137,106.9468631487561,False
2.2121034722402007,24.012447116501324,2004-01-24,211.79780368148027,1.1060517361201005,105.89890184074017,False
0.4186910254449085,25.74187993043553,2004-01-25,207.05635920373493,0.2093455127224543,103.52817960186749,False
-2.606529418694505,18.529793242898283,2004-01-26,204.44612455783812,-1.3032647093472527,102.22306227891909,True
