dates,wind_eastward_mean,wind_eastward_mean_selection,temperature_mean_selection,wind_eastward_mean_cos,temperate_mean_cos,SSW_,SSW_flag
2003-12-05,21.578788945170608,59.95375726501419,202.2034505668793,10.789394472585306,101.10172528343968,False,False
2003-12-06,21.535083851695095,55.5446581519034,197.8689358276986,10.76754192584755,98.93446791384933,False,False
2003-12-07,21.738426581651993,53.875075256189085,198.34050398212824,10.869213290825998,99.17025199106415,False,False
2003-12-08,22.89004163926584,53.523105327992766,197.3114473650047,11.445020819632921,98.65572368250238,False,False
2003-12-09,22.755332776534846,37.3979404927486,196.5672011768882,11.377666388267425,98.28360058844413,False,False
2003-12-10,23.23491472671785,36.10224907670902,194.8712282039233,11.617457363358927,97.43561410196168,False,False
2003-12-11,23.534618947718474,31.41194937221989,194.52841301523287,11.767309473859239,97.26420650761646,False,False
2003-12-12,24.58580425099287,28.896236295125096,193.1922060670188,12.292902125496438,96.59610303350942,False,False
2003-12-13,23.464349216279075,20.26136062722425,200.92378994097712,11.73217460813954,100.46189497048859,False,False
2003-12-14,22.78752601174058,19.666429008979954,202.03617184293944,11.393763005870293,101.01808592146975,False,False
2003-12-15,23.07926312949252,31.577234221119603,201.05013290892748,11.539631564746262,100.52506645446377,False,False
2003-12-16,20.787511980515227,38.05287616747723,213.04872670658335,10.393755990257615,106.5243633532917,False,False
2003-12-17,19.79921918660458,54.674260474177615,226.04993400368895,9.899609593302293,113.0249670018445,False,False
2003-12-18,19.712442913109765,76.48015687065944,229.6558582113567,9.856221456554884,114.82792910567838,False,False
2003-12-19,17.79591173528436,92.88532325879443,239.9048760207126,8.897955867642182,119.95243801035633,False,False
2003-12-20,14.665719987019544,75.26886733771988,240.2454320308307,7.332859993509774,120.12271601541538,False,False
2003-12-21,12.46066604811163,67.27300098550685,235.515292054639,6.230333024055817,117.75764602731952,False,False
2003-12-22,10.382350071141948,58.50909834992685,234.60085959686313,5.191175035570975,117.3004297984316,False,False
2003-12-23,9.395523453716088,58.167111720441866,240.98395797258272,4.697761726858045,120.49197898629139,False,False
2003-12-24,8.396523724650477,45.797830683148916,246.7305417258574,4.198261862325239,123.36527086292872,False,False
2003-12-25,10.973814627790535,41.816657979813655,238.7795050080873,5.486907313895268,119.38975250404368,False,False
2003-12-26,14.2993275753044,55.05174906931491,229.62603643226674,7.149663787652202,114.8130182161334,False,False
2003-12-27,12.644040702487864,65.29779360574443,253.2270017330507,6.322020351243934,126.61350086652538,False,False
2003-12-28,8.303678531082381,67.1049792009291,250.4036146912705,4.1518392655411915,125.20180734563527,False,False
2003-12-29,5.593583125404626,38.350654769248294,234.79937500182058,2.7967915627023134,117.39968750091032,False,False
2003-12-30,7.508194164000775,45.336148733344196,225.92572271765368,3.7540970820003885,112.96286135882687,False,False
2003-12-31,7.859761901034444,47.324415206199006,223.42335826520394,3.929880950517223,111.711679132602,False,False
2004-01-01,5.51791145963068,43.777007708752436,224.95756596723476,2.7589557298153404,112.4787829836174,False,False
2004-01-02,4.0779450952420735,36.592942544700996,225.9484435548717,2.038972547621037,112.97422177743587,False,False
2004-01-03,1.3788595870167804,25.06264958997154,228.50163097359427,0.6894297935083903,114.25081548679717,False,False
2004-01-04,-1.146177073665059,13.298935120986135,230.7606540622147,-0.5730885368325296,115.38032703110738,True,True
2004-01-05,-2.3190636417563733,12.622729546131007,229.62487030430444,-1.1595318208781868,114.81243515215225,False,False
2004-01-06,-3.0591422494506686,9.81505059732423,228.32482265194616,-1.5295711247253347,114.16241132597311,False,False
2004-01-07,-3.0847640269236907,8.412462293516521,229.74204906130822,-1.5423820134618458,114.87102453065414,False,False
2004-01-08,-3.1330816943391127,-2.668712549473142,229.5726744167107,-1.5665408471695568,114.78633720835538,False,False
2004-01-09,-1.3061732896400096,5.227008022977593,229.5366830432814,-0.6530866448200049,114.76834152164074,False,False
2004-01-10,-2.218375149683291,5.049159336012959,230.1004732614837,-1.1091875748416458,115.05023663074188,False,False
2004-01-11,-5.146955824052131,-15.14423882318231,228.79031450227342,-2.573477912026066,114.39515725113674,False,False
2004-01-12,-4.589058973211801,-21.552969208725305,226.29439174068753,-2.2945294866059007,113.1471958703438,False,False
2004-01-13,0.7083456654596337,0.7655943393350737,223.16082865446378,0.3541728327298169,111.58041432723192,False,False
2004-01-14,1.4478035189089884,1.3430356352939699,218.83732216324745,0.7239017594544943,109.41866108162375,False,False
