dates,wind_eastward_mean,wind_eastward_mean_selection,temperature_mean_selection,wind_eastward_mean_cos,SSW_,SSW_flag,day_delta
2009-01-03,34.329880202790015,4.339498913533146,197.58264586644677,17.16494010139501,False,False,-20
2009-01-04,34.068100450893766,4.938861294216788,198.76905559158925,17.034050225446887,False,False,-19
2009-01-05,34.0331026317818,1.0167977030962108,199.9668179269505,17.016551315890904,False,False,-18
2009-01-06,34.63220232365553,7.1303983137248235,199.47815196638734,17.316101161827767,False,False,-17
2009-01-07,34.2385282845502,4.531697378177537,200.73886544204007,17.119264142275103,False,False,-16
2009-01-08,34.027092792356044,3.719001769095927,200.4640318700061,17.013546396178025,False,False,-15
2009-01-09,35.40794529277803,-2.181147823846282,197.5203278786092,17.70397264638902,False,False,-14
2009-01-10,35.486607553376764,1.6728840396821667,198.14190111141502,17.743303776688386,False,False,-13
2009-01-11,36.541007597823004,12.042295776692855,199.29936872495713,18.270503798911506,False,False,-12
2009-01-12,37.40825925910822,16.107422872138997,198.71177481529833,18.704129629554114,False,False,-11
2009-01-13,35.27589950252775,3.288700671399696,199.03803504961425,17.63794975126388,False,False,-10
2009-01-14,35.576966357943554,6.997952672399662,198.6820667250256,17.78848317897178,False,False,-9
2009-01-15,34.81464746923924,18.751102488827453,204.11093823189006,17.407323734619624,False,False,-8
2009-01-16,37.0754174403341,20.19521599208838,201.16785084271535,18.537708720167053,False,False,-7
2009-01-17,35.70263563441274,15.104261983657121,199.2547399642563,17.851317817206372,False,False,-6
2009-01-18,34.70964551882227,30.725813956802497,205.24487481086908,17.35482275941114,False,False,-5
2009-01-19,33.45484794439893,29.068232608813968,213.87558639483524,16.727423972199468,False,False,-4
2009-01-20,29.588721038355676,61.0261492654964,221.68603030273127,14.794360519177841,False,False,-3
2009-01-21,22.26945365658754,73.55208094926735,237.63080360677222,11.134726828293772,False,False,-2
2009-01-22,11.263038362662963,43.4345041351018,260.2658387553706,5.631519181331482,False,False,-1
2009-01-23,-0.8810576425236831,32.38240250935993,259.4854618057201,-0.4405288212618417,True,True,0
2009-01-24,-8.39859222300619,19.987789055153392,253.46523142366658,-4.199296111503096,False,False,1
2009-01-25,-9.895690021437495,16.86167816711537,245.4453069894497,-4.947845010718749,False,False,2
2009-01-26,-10.800086481127535,13.16755367615877,244.96612303855792,-5.400043240563768,False,False,3
2009-01-27,-11.257463103617642,15.929274986900845,239.11722786930315,-5.628731551808822,False,False,4
2009-01-28,-14.459468661448906,7.699236441662455,227.83544882290815,-7.229734330724455,False,False,5
2009-01-29,-14.962998774995995,0.05731981358271412,230.84529814931528,-7.481499387497999,False,False,6
2009-01-30,-14.683456470008117,-7.484240340749946,236.13262952846156,-7.3417282350040605,False,False,7
2009-01-31,-15.970010490088404,-7.648842457818009,234.58941675294164,-7.985005245044204,False,False,8
2009-02-01,-16.400689559727926,-2.3144348172316977,230.36185994014585,-8.200344779863965,False,False,9
2009-02-02,-15.809491357107172,-2.1060487389480236,227.04204005106826,-7.904745678553588,False,False,10
2009-02-03,-13.423520959443008,-5.9752922477258625,227.07947625081675,-6.711760479721506,False,False,11
2009-02-04,-12.207766496441762,-2.9914539930767705,226.99409318109323,-6.103883248220883,False,False,12
2009-02-05,-9.837491988879448,-3.7180961134356143,225.47044956928553,-4.918745994439725,False,False,13
2009-02-06,-7.469660346029575,-7.314354532743488,225.25371282727494,-3.7348301730147884,False,False,14
2009-02-07,-6.383754948796564,-12.93769929786218,222.55938263480806,-3.1918774743982827,False,False,15
2009-02-08,-6.51632661391969,-7.496086577758321,223.35751883180635,-3.2581633069598457,False,False,16
2009-02-09,-5.755931577146259,3.5754671076166185,223.9948338811518,-2.87796578857313,False,False,17
2009-02-10,-5.475479597537199,5.452237494342484,225.16543558882785,-2.7377397987686,False,False,18
2009-02-11,-6.371189485062453,2.1299064788120607,223.2695984842532,-3.185594742531227,False,False,19
